DBN,SCHNAM_RENEW
18K566,Brooklyn Generation School
18K581,East Flatbush Community Research School
19K306,P.S. 306 Ethan Allen
19K328,P.S. 328 Phyllis Wheatley
19K583,Multicultural High School
19K659,Cypress Hills Collegiate Preparatory School
23K165,P.S. 165 Ida Posner
23K284,"P.S. 284 The Gregory Jocko Jackson School of Sports, Art, and Technology"
23K298,P.S. 298 Dr. Betty Shabazz
23K493,Brooklyn Collegiate: A College Board School
24Q296,Pan American International High School
25Q460,Flushing High School
26Q435,Martin Van Buren High School
27Q042,P.S./M.S 042 R. Vernam
27Q053,M.S. 053 Brian Piccolo
27Q197,P.S. 197 The Ocean School
27Q400,August Martin High School
27Q475,Richmond Hill High School
27Q480,John Adams High School
28Q008,J.H.S. 008 Richard S. Grossley
30Q111,P.S. 111 Jacob Blackwell
30Q450,Long Island City High School
32K291,J.H.S. 291 Roland Hayes
32K349,"I.S. 349 Math, Science & Technology"
32K552,Academy of Urban Planning
